clones,Anthractnose,ManchaBranca,ManchaParda,QueimaFolhas
BGM-0654,0.801981404147222,1.87358602586249,0.741725961488257,1.05743294117521
BGM-0655,1.20940260592348,0.714859028620837,1.84771770830758,1.56546195530987
BGM-0657,-0.0374678950432706,-0.310895864326091,0.405633052074943,0.217278833864608
BGM-0658,0.634091544309115,1.03340068348224,0.741725961488231,0.721371298250943
BGM-0659,0.634091544309126,0.0251782726260188,0.237586597368294,0.217278833864584
BGM-0660,-0.205357754881463,0.0251782726259947,-0.770692130871659,-0.454844451983871
BGM-0662,-0.541137474557567,1.03340068348227,-0.266552766751689,-0.11878280905966
BGM-0664,2.14510028285203,2.37769723129066,2.75828341796816,2.56971033433423
BGM-0665,-0.205357754881404,-0.81500706975422,-1.44287794969822,-1.46302938075656
BGM-0666,-1.04480705407189,0.0251782726259966,-0.602645676164953,-0.622875273446038
BGM-0670,-0.807660258569622,0.041846016127242,0.165090292577399,0.21948700545705
BGM-0671,0.298311824632905,0.361252409578078,-0.434599221458323,-0.454844451983866
BGM-0673,-0.37324761471947,0.0251782726259907,-0.602645676164971,-0.958936916370239
BGM-0678,0.130421964794774,0.865363615006262,-0.938738585578317,-0.958936916370207
BGM-0679,0.130421964794812,0.025178272625994,0.741725961488261,0.72137129825098
BGM-0680,-0.709027334395703,0.0251782726259946,-0.770692130871631,-0.622875273446
BGM-0682,-0.876917194233784,-0.310895864326092,-0.602645676164972,-0.454844451983881
BGM-0685,-0.709027334395691,-0.478932932802138,-0.602645676164965,-0.790906094908153
BGM-0693,-0.541137474557573,-0.646970001278156,-0.266552766751687,-0.454844451983876
BGM-0694,-0.876917194233791,-0.142858795850061,-0.266552766751687,-0.286813630521753
BGM-0697,-0.205357754881389,-0.815007069754217,-0.602645676164966,-0.622875273446002
BGM-0699,0.466201684470957,-0.81500706975422,0.237586597368298,0.0492480124024574
BGM-0700,0.298311824632878,-0.478932932802136,0.405633052074973,0.72137129825095
BGM-0702,0.130421964794802,-0.142858795850055,0.0695401426616604,0.553340476788794
BGM-0703,0.200871173676968,-0.294660490119534,0.165090292577399,0.219487005457047
BGM-0707,1.80932056317584,1.36947482043428,1.41391178031488,1.89758704848576
BGM-0711,-0.0374678950432783,-0.815007069754216,0.069540142661643,0.553340476788823
BGM-0714,-0.205357754881383,-1.15108120670631,-0.266552766751659,-0.118782809059695
BGM-0715,-1.28422057832111,-1.33700854507026,-0.698652598162486,-0.120824804390763
BGM-0717,0.130421964794803,-0.983044138230262,0.237586597368322,0.217278833864582
BGM-0718,-0.373247614719484,1.53751188891039,-0.602645676164963,-0.286813630521768
BGM-0726,-0.87691719423379,0.361252409578078,-0.602645676164958,-0.62287527344604
BGM-0728,-0.373247614719487,-0.478932932802121,-0.602645676164956,-0.286813630521797
BGM-0729,-0.876917194233787,-0.983044138230266,-0.0985063120450367,-0.118782809059654
BGM-0780-B,0.130421964794804,0.193215341102034,0.237586597368285,0.553340476788838
BGM-0781,-0.0374678950432764,1.53751188891039,0.573679506781597,0.889402119713083
BGM-0785,-0.709027334395702,-0.142858795850053,0.741725961488264,0.217278833864563
BGM-0788,-0.876917194233768,0.361252409578079,-0.938738585578316,-0.454844451983878
BGM-0805,-0.876917194233784,-0.478932932802133,-0.770692130871632,-0.454844451983891
BGM-0806,-1.21269691391,-0.646970001278168,-0.93873858557832,-0.790906094908114
BGM-0808,-1.04480705407189,-0.310895864326092,-0.26655276675169,0.0492480124024643
BGM-0810,-0.709027334395683,1.20143775195829,-0.26655276675169,0.21727883386458
BGM-0812,-0.709027334395688,-0.310895864326102,-0.0985063120450201,-0.286813630521754
BGM-0813,0.13042196479478,0.0251782726259914,-0.434599221458315,-0.454844451983932
BGM-0816,-0.709027334395683,-0.478932932802147,-0.602645676164957,-0.790906094908165
BGM-0817,-1.38058677374811,-0.983044138230256,-1.10678504028498,-1.29499855929449
BGM-0820,-0.541137474557567,0.529289478054144,0.0695401426616432,0.0492480124024537
BGM-0823,-0.87691719423379,0.0251782726259995,0.0695401426616452,0.0492480124024389
BGM-0843,-0.541137474557583,-0.478932932802156,0.237586597368294,0.0492480124024685
BGM-0846,-0.581137277649964,-0.712882067456647,-0.507184005314684,-0.710183606385953
BGM-0847,-0.413585544638316,-0.880539331901723,-1.01018834484755,-1.04549303068171
BGM-0848,-0.0784820786150498,-0.712882067456637,-1.01018834484758,-1.04549303068172
BGM-0849,-1.70134083360114,-1.80670472030799,-1.51747362950064,-1.64263166749354
BGM-0850,0.0368525057470632,-1.30899852064256,-0.558560804246802,-0.257946181180539
BGM-0851,-1.64134683843967,-1.47692715632381,-0.558560804246797,-0.0900224549761381
BGM-0856,-1.64134683843967,-0.301426706555145,-0.558560804246804,-0.425869907384925
BGM-0857,-0.634427231927613,0.0344305648073683,0.616988862096942,0.413748723637045
BGM-0858,-1.47352690402099,-0.63728397791763,0.281117528855813,0.0779012712281916
BGM-0859,-1.64134683843968,-0.805212613598865,-1.06236780410846,-0.593793633589316
BGM-0863,-0.802247166346282,-1.30899852064256,-0.390625137626299,-0.593793633589317
BGM-0866,0.372492374584459,-0.301426706555148,0.44905319547639,0.0779012712282885
BGM-0872,-0.466607297508917,-0.805212613598862,-0.558560804246835,-0.425869907384924
BGM-0873,-0.802247166346281,-0.805212613598879,-1.06236780410846,-1.09756481220237
BGM-0875,-0.63442723192761,-0.133498070873867,-0.390625137626301,-0.425869907384923
BGM-0877,-1.13788703518363,-0.133498070873867,-0.726496470867398,-1.09756481220238
BGM-0878,-1.13788703518363,-0.973141249280085,-0.726496470867352,-0.593793633589251
BGM-0882,-1.30570696960232,-0.805212613598882,-0.390625137626282,-0.0900224549761716
BGM-0885,0.204672440165772,-1.30899852064257,-0.726496470867362,-0.761717359793653
BGM-0886,1.32122264030245,0.545611557795521,0.162820077078557,0.70961783171775
